n_episode : 159, Total Frames : 8481, Average Score : 133.1, Episode Score : 0.0, Best Score : 940.0, n_buffer : 8481, eps : 92.0%
n_episode : 160, Total Frames : 8538, Average Score : 133.3, Episode Score : 160.0, Best Score : 940.0, n_buffer : 8538, eps : 91.9%
n_episode : 161, Total Frames : 8570, Average Score : 132.5, Episode Score : 10.0, Best Score : 940.0, n_buffer : 8570, eps : 91.9%
n_episode : 162, Total Frames : 8615, Average Score : 132.7, Episode Score : 160.0, Best Score : 940.0, n_buffer : 8615, eps : 91.9%
n_episode : 163, Total Frames : 8672, Average Score : 133.1, Episode Score : 200.0, Best Score : 940.0, n_buffer : 8672, eps : 91.8%
n_episode : 164, Total Frames : 8733, Average Score : 133.2, Episode Score : 140.0, Best Score : 940.0, n_buffer : 8733, eps : 91.8%
n_episode : 165, Total Frames : 8783, Average Score : 132.5, Episode Score : 30.0, Best Score : 940.0, n_buffer : 8783, eps : 91.7%
n_episode : 166, Total Frames : 8845, Average Score : 132.6, Episode Score : 140.0, Best Score : 940.0, n_buffer : 8845, eps : 91.7%
n_episode : 167, Total Frames : 8972, Average Score : 134.8, Episode Score : 500.0, Best Score : 940.0, n_buffer : 8972, eps : 91.6%
n_episode : 168, Total Frames : 8990, Average Score : 134.0, Episode Score : 10.0, Best Score : 940.0, n_buffer : 8990, eps : 91.5%
n_episode : 169, Total Frames : 9049, Average Score : 134.3, Episode Score : 180.0, Best Score : 940.0, n_buffer : 9049, eps : 91.5%
n_episode : 170, Total Frames : 9164, Average Score : 134.7, Episode Score : 200.0, Best Score : 940.0, n_buffer : 9164, eps : 91.4%
n_episode : 171, Total Frames : 9218, Average Score : 134.9, Episode Score : 160.0, Best Score : 940.0, n_buffer : 9218, eps : 91.3%
n_episode : 172, Total Frames : 9294, Average Score : 135.5, Episode Score : 240.0, Best Score : 940.0, n_buffer : 9294, eps : 91.3%
n_episode : 173, Total Frames : 9333, Average Score : 135.4, Episode Score : 120.0, Best Score : 940.0, n_buffer : 9333, eps : 91.2%
n_episode : 174, Total Frames : 9355, Average Score : 134.8, Episode Score : 40.0, Best Score : 940.0, n_buffer : 9355, eps : 91.2%
n_episode : 175, Total Frames : 9412, Average Score : 135.1, Episode Score : 180.0, Best Score : 940.0, n_buffer : 9412, eps : 91.2%
n_episode : 176, Total Frames : 9462, Average Score : 134.8, Episode Score : 80.0, Best Score : 940.0, n_buffer : 9462, eps : 91.1%
n_episode : 177, Total Frames : 9523, Average Score : 134.6, Episode Score : 100.0, Best Score : 940.0, n_buffer : 9523, eps : 91.1%
n_episode : 178, Total Frames : 9589, Average Score : 135.1, Episode Score : 220.0, Best Score : 940.0, n_buffer : 9589, eps : 91.0%
n_episode : 179, Total Frames : 9632, Average Score : 135.0, Episode Score : 120.0, Best Score : 940.0, n_buffer : 9632, eps : 90.9%
n_episode : 180, Total Frames : 9688, Average Score : 134.5, Episode Score : 50.0, Best Score : 940.0, n_buffer : 9688, eps : 90.9%
n_episode : 181, Total Frames : 9794, Average Score : 137.3, Episode Score : 640.0, Best Score : 940.0, n_buffer : 9794, eps : 90.9%
n_episode : 182, Total Frames : 9840, Average Score : 136.6, Episode Score : 20.0, Best Score : 940.0, n_buffer : 9840, eps : 90.8%
n_episode : 183, Total Frames : 9892, Average Score : 136.0, Episode Score : 20.0, Best Score : 940.0, n_buffer : 9892, eps : 90.7%
n_episode : 184, Total Frames : 9932, Average Score : 135.6, Episode Score : 60.0, Best Score : 940.0, n_buffer : 9932, eps : 90.7%
