n_episode : 193, Total Frames : 9474, Average Score : 39.1, Episode Score : 20.0, Best Score : 390.0, n_buffer : 9474, eps : 91.1%
n_episode : 194, Total Frames : 9542, Average Score : 39.3, Episode Score : 70.0, Best Score : 390.0, n_buffer : 9542, eps : 91.1%
n_episode : 195, Total Frames : 9604, Average Score : 39.3, Episode Score : 45.0, Best Score : 390.0, n_buffer : 9604, eps : 91.0%
n_episode : 196, Total Frames : 9648, Average Score : 39.1, Episode Score : 5.0, Best Score : 390.0, n_buffer : 9648, eps : 90.9%
n_episode : 197, Total Frames : 9676, Average Score : 39.0, Episode Score : 5.0, Best Score : 390.0, n_buffer : 9676, eps : 90.9%
n_episode : 198, Total Frames : 9703, Average Score : 38.8, Episode Score : 0.0, Best Score : 390.0, n_buffer : 9703, eps : 90.9%
n_episode : 199, Total Frames : 9775, Average Score : 38.8, Episode Score : 50.0, Best Score : 390.0, n_buffer : 9775, eps : 90.8%
n_episode : 200, Total Frames : 9842, Average Score : 38.9, Episode Score : 60.0, Best Score : 390.0, n_buffer : 9842, eps : 90.8%
n_episode : 201, Total Frames : 9894, Average Score : 39.1, Episode Score : 75.0, Best Score : 390.0, n_buffer : 9894, eps : 90.7%
n_episode : 202, Total Frames : 9978, Average Score : 39.4, Episode Score : 100.0, Best Score : 390.0, n_buffer : 9978, eps : 90.7%
n_episode : 203, Total Frames : 10000, Average Score : 39.4, Episode Score : 40.0, Best Score : 390.0, n_buffer : 10000, eps : 90.6%
n_episode : 204, Total Frames : 10056, Average Score : 39.6, Episode Score : 85.0, Best Score : 390.0, n_buffer : 10056, eps : 90.6%
n_episode : 205, Total Frames : 10089, Average Score : 39.4, Episode Score : 0.0, Best Score : 390.0, n_buffer : 10089, eps : 90.5%
n_episode : 206, Total Frames : 10168, Average Score : 39.5, Episode Score : 60.0, Best Score : 390.0, n_buffer : 10168, eps : 90.5%
