n_episode : 158, Total Frames : 7525, Average Score : 41.6, Episode Score : 30.0, Best Score : 395.0, n_buffer : 7525, eps : 92.9%
n_episode : 159, Total Frames : 7558, Average Score : 41.6, Episode Score : 35.0, Best Score : 395.0, n_buffer : 7558, eps : 92.8%
n_episode : 160, Total Frames : 7623, Average Score : 41.4, Episode Score : 15.0, Best Score : 395.0, n_buffer : 7623, eps : 92.8%
n_episode : 161, Total Frames : 7645, Average Score : 41.2, Episode Score : 0.0, Best Score : 395.0, n_buffer : 7645, eps : 92.7%
n_episode : 162, Total Frames : 7667, Average Score : 41.0, Episode Score : 15.0, Best Score : 395.0, n_buffer : 7667, eps : 92.7%
n_episode : 163, Total Frames : 7692, Average Score : 40.8, Episode Score : 0.0, Best Score : 395.0, n_buffer : 7692, eps : 92.7%
n_episode : 164, Total Frames : 7750, Average Score : 40.9, Episode Score : 55.0, Best Score : 395.0, n_buffer : 7750, eps : 92.7%
n_episode : 165, Total Frames : 7816, Average Score : 40.9, Episode Score : 55.0, Best Score : 395.0, n_buffer : 7816, eps : 92.6%
n_episode : 166, Total Frames : 7844, Average Score : 40.7, Episode Score : 0.0, Best Score : 395.0, n_buffer : 7844, eps : 92.6%
n_episode : 167, Total Frames : 7869, Average Score : 40.6, Episode Score : 25.0, Best Score : 395.0, n_buffer : 7869, eps : 92.5%
n_episode : 168, Total Frames : 7887, Average Score : 40.4, Episode Score : 5.0, Best Score : 395.0, n_buffer : 7887, eps : 92.5%
n_episode : 169, Total Frames : 7935, Average Score : 40.4, Episode Score : 50.0, Best Score : 395.0, n_buffer : 7935, eps : 92.5%
n_episode : 170, Total Frames : 7955, Average Score : 40.4, Episode Score : 35.0, Best Score : 395.0, n_buffer : 7955, eps : 92.4%
n_episode : 171, Total Frames : 7990, Average Score : 40.4, Episode Score : 30.0, Best Score : 395.0, n_buffer : 7990, eps : 92.4%
n_episode : 172, Total Frames : 8035, Average Score : 40.1, Episode Score : 5.0, Best Score : 395.0, n_buffer : 8035, eps : 92.4%
n_episode : 173, Total Frames : 8087, Average Score : 40.0, Episode Score : 15.0, Best Score : 395.0, n_buffer : 8087, eps : 92.4%
n_episode : 174, Total Frames : 8132, Average Score : 39.9, Episode Score : 15.0, Best Score : 395.0, n_buffer : 8132, eps : 92.3%
n_episode : 175, Total Frames : 8189, Average Score : 39.9, Episode Score : 55.0, Best Score : 395.0, n_buffer : 8189, eps : 92.3%
n_episode : 176, Total Frames : 8202, Average Score : 39.7, Episode Score : 0.0, Best Score : 395.0, n_buffer : 8202, eps : 92.2%
n_episode : 177, Total Frames : 8253, Average Score : 39.8, Episode Score : 55.0, Best Score : 395.0, n_buffer : 8253, eps : 92.2%
n_episode : 178, Total Frames : 8281, Average Score : 39.6, Episode Score : 0.0, Best Score : 395.0, n_buffer : 8281, eps : 92.2%
n_episode : 179, Total Frames : 8325, Average Score : 39.6, Episode Score : 50.0, Best Score : 395.0, n_buffer : 8325, eps : 92.1%
n_episode : 180, Total Frames : 8585, Average Score : 42.3, Episode Score : 520.0, Best Score : 520.0, n_buffer : 8585, eps : 92.1%
n_episode : 181, Total Frames : 8617, Average Score : 42.1, Episode Score : 0.0, Best Score : 520.0, n_buffer : 8617, eps : 91.9%
n_episode : 182, Total Frames : 8727, Average Score : 42.0, Episode Score : 20.0, Best Score : 520.0, n_buffer : 8727, eps : 91.8%
n_episode : 183, Total Frames : 8741, Average Score : 41.7, Episode Score : 0.0, Best Score : 520.0, n_buffer : 8741, eps : 91.7%
n_episode : 184, Total Frames : 8785, Average Score : 41.9, Episode Score : 80.0, Best Score : 520.0, n_buffer : 8785, eps : 91.7%
n_episode : 185, Total Frames : 8854, Average Score : 41.8, Episode Score : 25.0, Best Score : 520.0, n_buffer : 8854, eps : 91.7%
n_episode : 186, Total Frames : 9037, Average Score : 42.8, Episode Score : 225.0, Best Score : 520.0, n_buffer : 9037, eps : 91.6%
n_episode : 187, Total Frames : 9064, Average Score : 42.6, Episode Score : 0.0, Best Score : 520.0, n_buffer : 9064, eps : 91.4%
n_episode : 188, Total Frames : 9129, Average Score : 42.6, Episode Score : 45.0, Best Score : 520.0, n_buffer : 9129, eps : 91.4%
n_episode : 189, Total Frames : 9144, Average Score : 42.4, Episode Score : 0.0, Best Score : 520.0, n_buffer : 9144, eps : 91.4%
n_episode : 190, Total Frames : 9235, Average Score : 42.5, Episode Score : 65.0, Best Score : 520.0, n_buffer : 9235, eps : 91.3%
n_episode : 191, Total Frames : 9272, Average Score : 42.4, Episode Score : 15.0, Best Score : 520.0, n_buffer : 9272, eps : 91.3%
n_episode : 192, Total Frames : 9305, Average Score : 42.4, Episode Score : 60.0, Best Score : 520.0, n_buffer : 9305, eps : 91.2%
n_episode : 193, Total Frames : 9350, Average Score : 42.5, Episode Score : 55.0, Best Score : 520.0, n_buffer : 9350, eps : 91.2%
n_episode : 194, Total Frames : 9362, Average Score : 42.4, Episode Score : 15.0, Best Score : 520.0, n_buffer : 9362, eps : 91.2%
n_episode : 195, Total Frames : 9382, Average Score : 42.2, Episode Score : 15.0, Best Score : 520.0, n_buffer : 9382, eps : 91.2%
n_episode : 196, Total Frames : 9431, Average Score : 42.2, Episode Score : 30.0, Best Score : 520.0, n_buffer : 9431, eps : 91.1%
n_episode : 197, Total Frames : 9452, Average Score : 42.0, Episode Score : 15.0, Best Score : 520.0, n_buffer : 9452, eps : 91.1%
n_episode : 198, Total Frames : 9510, Average Score : 42.0, Episode Score : 45.0, Best Score : 520.0, n_buffer : 9510, eps : 91.1%
n_episode : 199, Total Frames : 9654, Average Score : 42.5, Episode Score : 140.0, Best Score : 520.0, n_buffer : 9654, eps : 91.0%
n_episode : 200, Total Frames : 9690, Average Score : 42.5, Episode Score : 35.0, Best Score : 520.0, n_buffer : 9690, eps : 90.9%
n_episode : 201, Total Frames : 9711, Average Score : 42.6, Episode Score : 55.0, Best Score : 520.0, n_buffer : 9711, eps : 90.9%
n_episode : 202, Total Frames : 9740, Average Score : 42.4, Episode Score : 0.0, Best Score : 520.0, n_buffer : 9740, eps : 90.8%
n_episode : 203, Total Frames : 9842, Average Score : 42.7, Episode Score : 120.0, Best Score : 520.0, n_buffer : 9842, eps : 90.8%
n_episode : 204, Total Frames : 9884, Average Score : 42.8, Episode Score : 55.0, Best Score : 520.0, n_buffer : 9884, eps : 90.7%
n_episode : 205, Total Frames : 9940, Average Score : 42.8, Episode Score : 50.0, Best Score : 520.0, n_buffer : 9940, eps : 90.7%
n_episode : 206, Total Frames : 9959, Average Score : 42.6, Episode Score : 0.0, Best Score : 520.0, n_buffer : 9959, eps : 90.6%
